arrival_time_s,input_len,output_len
273.4023,128,128
273.4060,512,32
273.5389,2048,32
273.6561,512,32
273.7533,128,32
273.8993,512,32
273.9924,2048,128
274.0398,2048,32
274.1730,512,32
274.1784,3072,512
274.4243,2048,512
274.5468,128,32
274.6568,2048,32
275.0045,512,32
275.1809,3072,32
275.4040,2048,128
275.5396,512,32
275.9003,2048,32
275.9262,512,128
275.9969,512,32
276.1587,3072,128
276.4036,512,32
276.4230,2048,32
276.7465,128,32
276.7943,4096,32
277.1497,2048,128
277.2490,1024,128
277.4194,512,32
277.6480,3072,32
277.7484,512,32
277.7899,512,32
277.9161,2048,512
