gpu_type,phase,slo_ms,sample_idx,target,p_violate_oof,rho_phase_oof,actual_unsafe
l40s,prefill,200,128,p99_ttft,0.1549125259623398,0.30533581765811424,0
l40s,prefill,200,129,p99_ttft,0.42542181407975943,0.8018677737716312,0
l40s,prefill,200,130,p99_ttft,0.09398164883272317,1.0220935903998905,0
l40s,prefill,200,131,p99_ttft,0.20034191312848182,1.2671351558824586,0
l40s,prefill,200,132,p99_ttft,0.01714972744048623,0.06501357028233284,0
l40s,prefill,200,133,p99_ttft,0.05437965067078155,0.14339197946083282,0
l40s,prefill,200,134,p99_ttft,0.9806934708245599,0.18140434243948725,1
l40s,prefill,200,135,p99_ttft,0.9954451415097897,0.19576788075265966,1
l40s,prefill,200,136,p99_ttft,0.15098197646227765,0.2912229686201945,0
l40s,prefill,200,137,p99_ttft,0.4458791567233898,0.7785350589383039,0
l40s,prefill,200,138,p99_ttft,0.08636896436734105,1.0279058148033935,0
l40s,prefill,200,139,p99_ttft,0.12068376521416145,1.244111548485057,0
l40s,prefill,200,140,p99_ttft,0.013656358390052898,0.061566562102153354,0
l40s,prefill,200,141,p99_ttft,0.24553379358613459,0.13674570573132258,0
l40s,prefill,200,142,p99_ttft,0.9693057953015493,0.17227673274327143,1
l40s,prefill,200,143,p99_ttft,0.9942865004531634,0.19222936582916267,1
l40s,prefill,200,144,p99_ttft,0.15098197646227765,0.28140133564180114,0
l40s,prefill,200,145,p99_ttft,0.2644481269162281,0.7575767792482284,0
l40s,prefill,200,146,p99_ttft,0.07050447572011784,1.0601681810075947,0
l40s,prefill,200,147,p99_ttft,0.17728528348456818,1.2797287358165952,0
l40s,prefill,200,148,p99_ttft,0.01342235246308087,0.058556930229406896,0
l40s,prefill,200,149,p99_ttft,0.13879386883236397,0.13161153922633184,0
l40s,prefill,200,150,p99_ttft,0.9711129381999319,0.1688047997729119,1
l40s,prefill,200,151,p99_ttft,0.9881740713122602,0.19811565623724434,1
l40s,prefill,200,152,p99_ttft,0.10534179769766198,0.2741985460975874,0
l40s,prefill,200,153,p99_ttft,0.2644481269162281,0.7469861007075401,0
l40s,prefill,200,154,p99_ttft,0.06967097710184855,1.0642374194303348,0
l40s,prefill,200,155,p99_ttft,0.17728528348456818,1.3189155424217747,0
l40s,prefill,200,156,p99_ttft,0.01342235246308087,0.0452725663019745,0
l40s,prefill,200,157,p99_ttft,0.28529597760169007,0.1057079849358587,0
l40s,prefill,200,158,p99_ttft,0.9785000091318194,0.13558093261723303,1
l40s,prefill,200,159,p99_ttft,0.9881740713122602,0.15912287728107044,1
l40s,prefill,200,160,p99_ttft,0.1341703672031846,0.2649915178586744,0
l40s,prefill,200,161,p99_ttft,0.4458791567233898,0.7499569941308222,0
l40s,prefill,200,162,p99_ttft,0.07436807112756806,0.8547760611465531,0
l40s,prefill,200,163,p99_ttft,0.20034191312848182,1.0593288788320532,0
l40s,prefill,200,164,p99_ttft,0.6194876329050226,0.051761715739610824,1
l40s,prefill,200,165,p99_ttft,0.734918893338593,0.07216044754077111,1
l40s,prefill,200,166,p99_ttft,0.9813659906026135,0.14461318087045522,1
l40s,prefill,200,167,p99_ttft,0.9086715745198409,0.20935490855337965,1
l40s,prefill,200,168,p99_ttft,0.9984301975010351,0.5721806897450883,1
l40s,prefill,200,169,p99_ttft,0.9286581124561112,0.3091578635768812,0
l40s,prefill,200,170,p99_ttft,0.16883601494930067,0.0429195800637961,0
l40s,prefill,200,171,p99_ttft,0.13705406531968567,0.055010655819220385,0
l40s,prefill,200,172,p99_ttft,0.2818779561500263,0.05343804891006643,0
l40s,prefill,200,173,p99_ttft,0.37948590496415874,0.10361936245635095,0
l40s,prefill,200,174,p99_ttft,0.5457601377632415,0.21289672082311475,1
l40s,prefill,200,175,p99_ttft,0.9446760674492463,0.40998336337219776,1
l40s,prefill,200,176,p99_ttft,0.9551368718540166,0.4219890511956579,1
l40s,prefill,200,177,p99_ttft,0.9097495901097291,0.8204002140433687,1
l40s,prefill,200,178,p99_ttft,0.4085242089785722,0.18449507612068267,0
l40s,prefill,200,179,p99_ttft,0.18525678327864858,0.19891878684497588,0
l40s,prefill,200,180,p99_ttft,0.9554609297578565,0.35869659094659456,0
l40s,prefill,200,181,p99_ttft,0.9554609297578565,0.5810574590570386,0
l40s,prefill,200,182,p99_ttft,0.7498501904268249,0.3863031193511028,1
l40s,prefill,200,183,p99_ttft,0.8241111828616586,0.6657240583651685,1
l40s,prefill,200,184,p99_ttft,0.9042145694113289,1.0300784430555268,1
l40s,prefill,200,185,p99_ttft,0.08705413894323477,0.020361624487664598,0
l40s,prefill,200,186,p99_ttft,0.3355196801206455,0.20361624487664598,0
l40s,prefill,200,187,p99_ttft,0.12662844637821047,0.0330068707266281,0
l40s,prefill,200,188,p99_ttft,0.41864399460628693,0.33006870726628096,0
l40s,prefill,200,189,p99_ttft,0.032821997210078745,0.039254378260840016,0
l40s,prefill,200,190,p99_ttft,0.3156885212160512,0.07479708189511698,0
l40s,prefill,200,191,p99_ttft,0.6206855147227553,0.2959442953405881,1
l40s,prefill,200,192,p99_ttft,0.9564941060815608,0.507435761901849,1
l40s,prefill,200,193,p99_ttft,0.9938942139468351,0.6128114613581561,1
l40s,prefill,200,194,p99_ttft,0.11532523699149773,0.22141068132645228,0
l40s,prefill,200,195,p99_ttft,0.05747082913453962,0.10374308185740234,0
l40s,prefill,200,196,p99_ttft,0.010956120884077878,0.29233929123774977,0
l40s,prefill,200,197,p99_ttft,0.06066728883332968,0.7299568677100319,0
l40s,prefill,200,198,p99_ttft,0.09996865818197648,0.7622955045060463,0
l40s,prefill,200,199,p99_ttft,0.7672924739714728,0.247432320856541,0
l40s,prefill,200,200,p99_ttft,0.8723004618992153,0.511201488119285,1
l40s,prefill,200,201,p99_ttft,0.8732699725902581,0.7462757705362331,1
l40s,prefill,200,202,p99_ttft,0.06141526433615492,0.021344495210614274,0
l40s,prefill,200,203,p99_ttft,0.3908411008887077,0.21344495210614275,0
l40s,prefill,200,204,p99_ttft,0.012753185950339517,0.025384559951882928,0
