phase,freq_mhz,input_len,burst_size,rep,send_mono_s,status,error,ttft_ms,tpot_ms,tokens,latency_ms,rank,burst_energy_j,burst_duration_ms
bursts_k1,2520,2048,8,4,1867842.40293349,ok,,935.700099915266,,1,935.7386250048876,5,414.949,1261.3738200161606
bursts_k1,2520,2048,8,4,1867842.403188534,ok,,1259.2138790059835,,1,1259.2818159610033,6,414.949,1261.3738200161606
bursts_k1,2520,2048,8,4,1867842.403453374,ok,,1259.0972979087383,,1,1259.1370318550617,7,414.949,1261.3738200161606
bursts_k1,2520,2048,1,1,1867844.18441039,ok,,154.7639360651374,,1,154.8328110948205,0,50.035,155.03449412062764
bursts_k1,2520,128,8,3,1867844.857888803,ok,,55.189318023622036,,1,55.221092188730836,0,12.648,102.92668896727264
bursts_k1,2520,128,8,3,1867844.858408126,ok,,54.37099002301693,,1,54.44107693620026,1,12.648,102.92668896727264
bursts_k1,2520,128,8,3,1867844.858746223,ok,,54.20598899945617,,1,54.24798303283751,2,12.648,102.92668896727264
bursts_k1,2520,128,8,3,1867844.85903613,ok,,101.26861999742687,,1,101.29957902245224,3,12.648,102.92668896727264
bursts_k1,2520,128,8,3,1867844.859296658,ok,,100.91488691978157,,1,100.95347883179784,4,12.648,102.92668896727264
bursts_k1,2520,128,8,3,1867844.85955268,ok,,100.89626302942634,,1,100.92397197149694,5,12.648,102.92668896727264
bursts_k1,2520,128,8,3,1867844.859806025,ok,,100.57370411232114,,1,100.60194414108992,6,12.648,102.92668896727264
bursts_k1,2520,128,8,3,1867844.860064883,ok,,99.99524103477597,,1,100.06684088148177,7,12.648,102.92668896727264
bursts_k1,2520,128,1,0,1867845.484194082,ok,,36.56684490852058,,1,36.63798491470516,0,8.323,36.85134300030768
bursts_k1,2520,128,8,1,1867846.034441915,ok,,56.1911768745631,,1,56.230445858091116,0,20.426,102.88440599106252
bursts_k1,2520,128,8,1,1867846.034975666,ok,,55.752219865098596,,1,55.78572698868811,1,20.426,102.88440599106252
bursts_k1,2520,128,8,1,1867846.035351348,ok,,55.133329005911946,,1,55.20224687643349,2,20.426,102.88440599106252
bursts_k1,2520,128,8,1,1867846.035645541,ok,,100.96085001714528,,1,101.0309150442481,3,20.426,102.88440599106252
bursts_k1,2520,128,8,1,1867846.035917999,ok,,100.8459790609777,,1,100.88183009065688,4,20.426,102.88440599106252
bursts_k1,2520,128,8,1,1867846.03618785,ok,,100.7388059515506,,1,100.76553816907108,5,20.426,102.88440599106252
bursts_k1,2520,128,8,1,1867846.036401539,ok,,100.59024696238339,,1,100.62995087355375,6,20.426,102.88440599106252
bursts_k1,2520,128,8,1,1867846.036596918,ok,,100.2560630440712,,1,100.28771590441465,7,20.426,102.88440599106252
bursts_k1,2520,1024,4,3,1867846.660232038,ok,,88.84362503886223,,1,88.91539205797017,0,85.978,306.5308390650898
bursts_k1,2520,1024,4,3,1867846.660735563,ok,,305.7125951163471,,1,305.7515821419656,1,85.978,306.5308390650898
bursts_k1,2520,1024,4,3,1867846.661152844,ok,,305.3844878450036,,1,305.41580100543797,2,85.978,306.5308390650898
bursts_k1,2520,1024,4,3,1867846.661497198,ok,,304.8015858512372,,1,304.8700748477131,3,85.978,306.5308390650898
bursts_k1,2520,128,2,0,1867847.487094213,ok,,37.33645589090884,,1,37.40696492604911,0,8.219,62.59375996887684
bursts_k1,2520,128,2,0,1867847.487606792,ok,,61.759819043800235,,1,61.828135047107935,1,8.219,62.59375996887684
bursts_k1,2520,1024,2,0,1867848.065986132,ok,,154.44376203231514,,1,154.48419889435172,0,49.409,154.68537202104926
bursts_k1,2520,1024,2,0,1867848.066612828,ok,,153.66677683778107,,1,153.73673592694104,1,49.409,154.68537202104926
bursts_k1,2520,1024,4,1,1867848.746093508,ok,,158.7301178369671,,1,158.79935794509947,0,88.655,304.3163330294192
bursts_k1,2520,1024,4,1,1867848.746649329,ok,,158.34289602935314,,1,158.4058308508247,1,88.655,304.3163330294192
bursts_k1,2520,1024,4,1,1867848.747027424,ok,,302.956473082304,,1,303.04386001080275,2,88.655,304.3163330294192
bursts_k1,2520,1024,4,1,1867848.747340281,ok,,302.81406501308084,,1,302.85328393802047,3,88.655,304.3163330294192
bursts_k1,2520,2048,4,3,1867849.580957803,ok,,321.9395810738206,,1,322.01114809140563,0,223.556,631.7978820297867
bursts_k1,2520,2048,4,3,1867849.581462554,ok,,321.6135329566896,,1,321.65603106841445,1,223.556,631.7978820297867
bursts_k1,2520,2048,4,3,1867849.581856021,ok,,630.5232620798051,,1,630.5931711103767,2,223.556,631.7978820297867
bursts_k1,2520,2048,4,3,1867849.582216143,ok,,630.326631013304,,1,630.3670611232519,3,223.556,631.7978820297867
bursts_k1,2520,128,8,0,1867850.732163476,ok,,55.62744103372097,,1,55.69854099303484,0,20.087,103.06835197843611
bursts_k1,2520,128,8,0,1867850.732634357,ok,,55.309126153588295,,1,55.3487460128963,1,20.087,103.06835197843611
bursts_k1,2520,128,8,0,1867850.732907478,ok,,55.151019943878055,,1,55.184937082231045,2,20.087,103.06835197843611
bursts_k1,2520,128,8,0,1867850.733143053,ok,,101.7160969786346,,1,101.74274095334113,3,20.087,103.06835197843611
bursts_k1,2520,128,8,0,1867850.733357519,ok,,101.19402408599854,,1,101.26026603393257,4,20.087,103.06835197843611
bursts_k1,2520,128,8,0,1867850.73356044,ok,,101.13720106892288,,1,101.17394104599953,5,20.087,103.06835197843611
bursts_k1,2520,128,8,0,1867850.733761233,ok,,101.16168390959501,,1,101.18766897358,6,20.087,103.06835197843611
bursts_k1,2520,128,8,0,1867850.733956597,ok,,100.82845785655081,,1,100.85982084274292,7,20.087,103.06835197843611
bursts_k1,2520,1024,8,4,1867851.362263298,ok,,166.11867514438927,,1,166.18886310607195,0,187.635,610.7335998676717
bursts_k1,2520,1024,8,4,1867851.36265687,ok,,165.87763605639338,,1,165.92030902393162,1,187.635,610.7335998676717
bursts_k1,2520,1024,8,4,1867851.36293938,ok,,464.6797887980938,,1,464.7094269748777,2,187.635,610.7335998676717
bursts_k1,2520,1024,8,4,1867851.363200369,ok,,464.18576990254223,,1,464.25286098383367,3,187.635,610.7335998676717
bursts_k1,2520,1024,8,4,1867851.363439955,ok,,464.0907000284642,,1,464.12896690890193,4,187.635,610.7335998676717
